127.0.0.1 - - [13/Dec/2020:23:03:05 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Dec/2020:23:03:14 +0530] "GET /Ecommerceproject/ HTTP/1.1" 200 7408
0:0:0:0:0:0:0:1 - - [13/Dec/2020:23:03:14 +0530] "GET /Ecommerceproject/css/style.css HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [13/Dec/2020:23:03:15 +0530] "GET /Ecommerceproject/js/script.js HTTP/1.1" 200 3147
0:0:0:0:0:0:0:1 - - [13/Dec/2020:23:03:15 +0530] "GET /Ecommerceproject/img/products/honor9.jpeg HTTP/1.1" 200 14887
0:0:0:0:0:0:0:1 - - [13/Dec/2020:23:03:15 +0530] "GET /Ecommerceproject/img/products/laptop.jpeg HTTP/1.1" 200 20787
0:0:0:0:0:0:0:1 - - [13/Dec/2020:23:03:15 +0530] "GET /Ecommerceproject/img/unnamed.png HTTP/1.1" 200 8034
0:0:0:0:0:0:0:1 - - [13/Dec/2020:23:03:16 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Dec/2020:23:03:20 +0530] "GET /Ecommerceproject/ HTTP/1.1" 200 7408
0:0:0:0:0:0:0:1 - - [13/Dec/2020:23:03:50 +0530] "GET /Ecommerceproject/index.jsp?category=1 HTTP/1.1" 200 6760
0:0:0:0:0:0:0:1 - - [13/Dec/2020:23:03:54 +0530] "GET /Ecommerceproject/index.jsp?category=2 HTTP/1.1" 200 6520
0:0:0:0:0:0:0:1 - - [13/Dec/2020:23:03:56 +0530] "GET /Ecommerceproject/index.jsp?category=6 HTTP/1.1" 200 5807
0:0:0:0:0:0:0:1 - - [13/Dec/2020:23:03:58 +0530] "GET /Ecommerceproject/index.jsp?category=2 HTTP/1.1" 200 6520
0:0:0:0:0:0:0:1 - - [13/Dec/2020:23:03:59 +0530] "GET /Ecommerceproject/index.jsp?category=1 HTTP/1.1" 200 6760
0:0:0:0:0:0:0:1 - - [13/Dec/2020:23:04:02 +0530] "GET /Ecommerceproject/loginForm.jsp HTTP/1.1" 200 6223
0:0:0:0:0:0:0:1 - - [13/Dec/2020:23:04:33 +0530] "GET /Ecommerceproject/registrationForm.jsp HTTP/1.1" 200 6679
0:0:0:0:0:0:0:1 - - [13/Dec/2020:23:05:02 +0530] "POST /Ecommerceproject/RegistrationServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Dec/2020:23:05:02 +0530] "GET /Ecommerceproject/registrationForm.jsp HTTP/1.1" 200 6943
0:0:0:0:0:0:0:1 - - [13/Dec/2020:23:05:18 +0530] "GET /Ecommerceproject/registrationForm.jsp HTTP/1.1" 200 6679
0:0:0:0:0:0:0:1 - - [13/Dec/2020:23:07:47 +0530] "GET /Ecommerceproject/index.jsp HTTP/1.1" 200 7408
0:0:0:0:0:0:0:1 - - [13/Dec/2020:23:07:55 +0530] "GET /Ecommerceproject/index.jsp?category=2 HTTP/1.1" 200 6520
0:0:0:0:0:0:0:1 - - [13/Dec/2020:23:08:10 +0530] "GET /Ecommerceproject/index.jsp?category=2 HTTP/1.1" 200 6520
0:0:0:0:0:0:0:1 - - [13/Dec/2020:23:08:12 +0530] "GET /Ecommerceproject/index.jsp?category=2 HTTP/1.1" 200 6520
0:0:0:0:0:0:0:1 - - [13/Dec/2020:23:09:52 +0530] "GET /Ecommerceproject/index.jsp?category=6 HTTP/1.1" 200 5807
0:0:0:0:0:0:0:1 - - [13/Dec/2020:23:09:53 +0530] "GET /Ecommerceproject/index.jsp?category=1 HTTP/1.1" 200 6760
